,Attack Survival Rate,Boundary Consistency,Certified Robustness
Standard DNN,"{'FGSM': 0.8855932354927063, 'PGD': 0.8855932354927063, 'CW': 0.7838982939720154}",1.0,0.9830508232116699
Robust DNN,"{'FGSM': 0.7838982939720154, 'PGD': 0.7838982939720154, 'CW': 0.7669491767883301}",1.0,0.9745762944221497
