Scenario,Accuracy,Balanced Accuracy,F1-Score,Average Precision
Robust_DNN - Clean,0.9228813559322034,0.875,0.8169670881535287,0.7255487110989086
Robust_DNN - FGSM,0.9234069942072517,0.8774038461538461,0.8203016606307055,0.7277653780494424
Robust_DNN - PGD,0.9234069942072517,0.8774038461538461,0.8203016606307055,0.72773232758696
Robust_DNN - CW,0.8990429073140936,0.7465659340659341,0.64970605425104,0.7225642069912469
