Scenario,Accuracy,Balanced Accuracy,F1-Score,Average Precision
Standard_DNN - Clean,0.9247076950965286,0.8883928571428572,0.8562479846287997,0.722958894978548
Standard_DNN - FGSM,0.8873726978318751,0.7342032967032968,0.886458949088056,0.7317981182391698
Standard_DNN - PGD,0.8873726978318751,0.7342032967032968,0.886458949088056,0.7317479477314519
Standard_DNN - CW,0.8574381326137109,0.6919642857142857,0.8115477027276026,0.7412519959706405
